N°,PLACA INTERNA,PLACA RODAJE,UNIDAD,SUB UNIDAD,TIPO DE VEHICULO,AÑO,MARCA,MODELO,Nº DE  MOTOR,Nº DE SERIE,TIPO DE COMBUSTIBLE,PROCEDENCIA,ESTADO DEL VEHICULO,ESTADO DEL ODOMETRO,FUNCION POLICIAL
11,PL-17180,EP-3565,REGPOL-LL,DIV. INT. -III-MACRO-RP--LL.,MOTOCICLETA,2015,HONDA,CBX-250 TWISTER,MC35EE337838,8CHMC3500FP000223,GASOLINA,PNP,OPERATIVO,OPERAT.,OPERATIVO
12,KG-24565,EP-6987,REGPOL-LL,DIV. INT. -III-MACRO-RP--LL.,MOTOCICLETA,2013,HONDA,XR-250 TORNADO,MD34ED512842,9C2MD3400DR512842,GASOLINA,MPT,OPERATIVO,OPERAT.,OPERATIVO
13,TMP-4374,EA-1023,REGPOL-LL,DIV. INT. -III-MACRO-RP--LL.,MOTOCICLETA,2015,HONDA,XR-250 TORNADO,MD34EA511487,9C2MD3400AR511487,GASOLINA,GR,OPERATIVO,OPERAT.,OPERATIVO
14,TMP-4375,EA-1151,REGPOL-LL,DIV. INT. -III-MACRO-RP--LL.,MOTOCICLETA,2015,MAVILA,VERTIGO 200,LC163FML2HA133410,LLCLGL10XA1100183,GASOLINA,GR,OPERATIVO,OPERAT.,OPERATIVO
15,TMP-4376,EA-1162,REGPOL-LL,DIV. INT. -III-MACRO-RP--LL.,MOTOCICLETA,2015,MAVILA,VERTIGO 200,LC163FML2HA133406,LLCLGL10XA1100166,GASOLINA,GR,OPERATIVO,OPERAT.,OPERATIVO
16,IG-25478,EP-6979,REGPOL-LL,DIV. INT. -III-MACRO-RP--LL.,MOTOCICLETA,2014,BAJAJ,PULSAR NS200,JLZCEH26488,MD2A36FZ4FCH00158,GASOLINA,DONADO,OPERATIVO,OPERAT.,OPERATIVO
17,IG-25481,EP-6982,REGPOL-LL,DIV. INT. -III-MACRO-RP--LL.,MOTOCICLETA,2014,BAJAJ,PULSAR NS200,JLZCEG18325,MD2A36FZ2FCG00463,GASOLINA,DONADO,OPERATIVO,OPERAT.,OPERATIVO
18,PL-12430,EP-0872,REGPOL-LL,REGPOL-LL-SECRETARIA,MOTOCICLETA,2012,HONDA,CBX-250 TWISTER,MC35ED350162,9C2MC3500DR350162,GASOLINA,PNP,OPERATIVO,OPERAT.,ADMINISTRAT.
19,PL-15339,EPB-856,REGPOL-LL,DPTO.UNIDADES ESPÉCIALIZADAS (DUE),AUTOMOVIL,2014,NISSAN,TIIDA,HR16758004H,3N1CC1AD8EK210246,GASOLINA,PNP,OPERATIVO,OPERAT.,ADMINISTRAT.
20,PG-27750,EPH-194,REGPOL-LL,DIVINCRI LA LIBERTAD,CAMIONETA  PICK UP,2024,TOYOTA,HILUX 4x4,1GD-G493830,8AJKA3CD1S3129323,DIESEL,GR    ,OPERATIVO,OPERAT.,OPERATIVO
21,PG-27751,EPH-193,REGPOL-LL,DIVINCRI LA LIBERTAD,CAMIONETA  PICK UP,2024,TOYOTA,HILUX 4x4,1GD-G492768,8AJKA3CD2S3129184,DIESEL,GR    ,OPERATIVO,OPERAT.,OPERATIVO
22,PG-27752,EPH-190,REGPOL-LL,DIVINCRI LA LIBERTAD,CAMIONETA  PICK UP,2024,TOYOTA,HILUX 4x4,1GD-G463719,8AJKA3CD7S3129150,DIESEL,GR    ,OPERATIVO,OPERAT.,OPERATIVO
23,PG-27753,EPH-204,REGPOL-LL,DIVINCRI LA LIBERTAD,CAMIONETA  PICK UP,2024,TOYOTA,HILUX 4x4,1GD-G492159,8AJKA3CD4S3129106,DIESEL,GR    ,OPERATIVO,OPERAT.,OPERATIVO
24,IK-25373,EPG-035,REGPOL-LL,DIVINCRI TRATA DE PERSONAS,CAMIONETA  PICK UP,2019,TOYOTA,HILUX 4x4, 1GDG135037,8AJKA3CD1L3073109,DIESEL,PNP,OPERATIVO,OPERAT.,OPERATIVO
25,PG-25415,EPG-266,REGPOL-LL,DIVINCRI DEPINCRI AREANDRO,CAMIONETA  PICK UP,2016,MAZDA,BT50  4X4, P5AT2233013,MM7UR4DF5HW601267,DIESEL,DONADO,OPERATIVO,OPERAT.,OPERATIVO
26,IK-25321,EPG-029,REGPOL-LL,DIVINCRI DEPINCRI ROBOS,CAMIONETA  PICK UP,2019,TOYOTA,HILUX 4x4,1GDG128315, 8AJKA3CD0L3071447,DIESEL,PNP,OPERATIVO,OPERAT.,OPERATIVO
27,IG-25479,EP-6980,REGPOL-LL,DIVINCRI DEPINCRI ROBOS,MOTOCICLETA,2014,BAJAJ,PULSAR,JLZCEG18283,MD2A36FZ2FCG00446,GASOLINA,DONADO,OPERATIVO,OPERAT.,OPERATIVO
28,PG-27754,EPH-206,REGPOL-LL,DIVINCRI OFICRI-TRUJILLO,CAMIONETA  PICK UP,2024,TOYOTA,HILUX 4x4,1GD-G497639,8AJKA3CD0S3129829,DIESEL,GR,OPERATIVO,OPERAT.,OPERATIVO
29,TMP-2852,EAG-844,REGPOL-LL,DIVINCRI-DEPINCRI-SEINCRI-ARE-NORTE,CAMIONETA  PICK UP,2021,MITSUBISHI,L200,4N15UHT9966,MMBJJKL10NH053044,DIESEL,MDLE,OPERATIVO,OPERAT.,OPERATIVO
30,IL-12388,S/P,IIIMRP-LL,DIVINCRI-DEPINCRI-SEINCRI-ARE-NORTE,CAMIONETA  PICK UP,2013,NISSAN,FRONTIER,YD25381426T,3N6PD23Y5DK010017,DIESEL,DONADO,OPERATIVO,OPERAT.,OPERATIVO
31,IG-25480,EP-6981,REGPOL-LL,DIVINCRI DEPINCRI EXTORSIONES,MOTOCICLETA,2014,BAJAJ,PULSAR,JLZCEG17930,MD2A36FZ5FCG00005,GASOLINA,DONADO,OPERATIVO,OPERAT.,OPERATIVO
32,PL-16068,EPC-180,REGPOL-LL,DIVINCRI-DEPINCRI-SEINCRI-ARE-ESTE,CAMIONETA  PICK UP,2014,NISSAN,FRONTIER,KA24730877A,3N6DD23T2EK086108,GASOLINA,PNP,OPERATIVO,OPERAT.,OPERATIVO
33,TMP-3311,T8J-945,REGPOL-LL,DIVINCRI DEPINCRI AREAP JUD,CAMIONETA  PICK UP,2016,MITSUBISHI,L-200,4D56UAE9412,MMBJMKL30GH052774,DIESEL,PRONABI,OPERATIVO,OPERAT.,OPERATIVO
34,PG-25947,EPG-336,REGPOL-LL,UNIDAD DE FLAGRANCIA-DIVINCRI TRUJILLO,CAMIONETA  PICK UP,2022,SSANG YONG,MUSSO,C67296010519660,KPAX62EESPP174093,DIESEL,PIP,OPERATIVO,OPERAT.,PATRULLAJE
35,PL-7663,CQL-901,REGPOL-LL,EDUCACION-INSTRUCCION,AUTOMOVIL,2008,NISSAN ,ALMERA,QG16211793P,KNMC4C2HM9P713930,GASOLINA,PNP,OPERATIVO,OPERAT.,OPERATIVO
36,PG-27747,EPH-209,REGPOL-LL,SUAT,CAMIONETA  PICK UP,2024,TOYOTA,HILUX 4x4,1GD-G497496,8AJKA3CD4S3129803,DIESEL,GR,OPERATIVO,OPERAT.,PATRULLAJE
37,PG-27818,EPH-223,REGPOL-LL,SUAT,CAMIONETA  PICK UP,2024,TOYOTA,HILUX 4x4,1GD-G497781,8AJKA3CD5S3129843,DIESEL,GR,OPERATIVO,OPERAT.,PATRULLAJE
38,PL-16112,EPC-360,REGPOL-LL,UNIPLEDU,CAMIONETA  PICK UP,2014,NISSAN,FRONTIER,162FMJ12057132,3N6DD23T6EK087665,GASOLINA,PNP,OPERATIVO,OPERAT.,PATRULLAJE
39,PG-25447,EPG-165,REGPOL-LL,UNIDAD SERV. ESPECIALES,MINIBUS,2020,VOLKSWAGEN,HERMES,36639984,9532M52P9LR007111,DIESEL,PNP,OPERATIVO,OPERAT.,OPERATIVO
40,TMP-2793,BBP-801,REGPOL-LL,UNIDAD SERV. ESPECIALES,CAMION BARANDA,2019,SCANIA,G500 B6X4,DC13146L018343425,9BSG6X400K3953219,DIESEL,PRONABI,OPERATIVO,OPERAT.,OPERATIVO
41,PG-24786,EPG-257,REGPOL-LL,UNIDAD SERV. ESPECIALES,CAMIONETA  PICK UP,2016,MAZDA,BT50  4X4,P5AT2323938,MM7UR4DF0HW643071,DIESEL,MPT,OPERATIVO,OPERAT.,OPERATIVO
42,PG-26450,EPG-611,REGPOL-LL,UNIDAD SERV. ESPECIALES,CAMIONETA  PICK UP,2023,FORD,RANGER 4X2,SA2QPJ344213,8AFAR23WXPJ344213,DIESEL,MININTER,OPERATIVO,OPERAT.,OPERATIVO
43,PG-24793,EAA-266,REGPOL-LL,UNIDAD SERV. ESPECIALES,PORTATROPA,2016,FOTON,AUMARK,89854167,LVBV5PBB1GE006971,DIESEL,MPT,OPERATIVO,OPERAT.,OPERATIVO
44,PL-13479,EP-2123,REGPOL-LL,SEC. SEG. PENALES,MOTOCICLETA,2013,YAMAHA,YBR 125 ED,E3J2E 008469,LBPKE1781D0016911,GASOLINA,PNP,OPERATIVO,OPERAT.,PATRULLAJE
45,KG-24566,EP-6988,REGPOL-LL,UNIDAD SEGURIDAD DEL ESTADO,MOTOCICLETA,2013,HONDA,XR-250 TORNADO,MD34ED512821,9C2MD3400DR512821,GASOLINA,MPT,OPERATIVO,OPERAT.,PATRULLAJE
46,RL-25224,EPG-076,REGPOL-LL,UNIDAD SEGURIDAD DEL ESTADO,CAMIONETA  SUV,2020,VOLKSWAGEN,TIGUAN,CZDA59712,3VVK665N6LM025180,GASOLINA,PNP,OPERATIVO,OPERAT.,PATRULLAJE
47,KG-25641,EPG-286,REGPOL-LL,SECPROVE,CAMIONETA  PICK UP,2021,NISSAN,FRONTIER,YD25733648P,3N6CD33B1NK803042,DIESEL,PNP,OPERATIVO,OPERAT.,PATRULLAJE
48,PG-27755,EPH-188,REGPOL-LL,SECPROVE,CAMIONETA  PICK UP,2024,TOYOTA,HILUX 4x4,1GD-G488575,8AJKA3CD2S3128472,DIESEL,GR,OPERATIVO,OPERAT.,PATRULLAJE
49,TMP-3552,T0O-918,REGPOL-LL,SECPROVE,CAMIONETA  PICK UP,2021,TOYOTA,HILUX 4x4,1GDG153681,8AJHA3CD5M2096443,DIESEL,PRONABI,OPERATIVO,OPERAT.,PATRULLAJE
50,PG-27748,EPH-200,REGPOL-LL,UDEX RESCATE,CAMIONETA  PICK UP,2024,TOYOTA,HILUX 4x4,1GD-G491724,8AJKA3CD1S3129046,DIESEL,GR,OPERATIVO,OPERAT.,PATRULLAJE
51,PG-27749,EPH-208,REGPOL-LL,UDEX RESCATE,CAMIONETA  PICK UP,2024,TOYOTA,HILUX 4x4,1GD-G493984,8AJKA3CD0S3129345,DIESEL,GR,OPERATIVO,OPERAT.,PATRULLAJE
52,PG-27732,EPH-205,REGPOL-LL,SECEME CENTRO,CAMIONETA  PICK UP,2024,TOYOTA,HILUX 4x4,1GD-G494399,8AJKA3CD6S3129396,DIESEL,GR,OPERATIVO,OPERAT.,PATRULLAJE
53,PG-27733,EPH-211,REGPOL-LL,SECEME CENTRO,CAMIONETA  PICK UP,2024,TOYOTA,HILUX 4x4,1GD-G497430,8AJKA3CD9S3129795,DIESEL,GR,OPERATIVO,OPERAT.,PATRULLAJE
54,PG-27734,EPH-191,REGPOL-LL,SECEME CENTRO,CAMIONETA  PICK UP,2024,TOYOTA,HILUX 4x4,1GD-G494315,8AJKA3CD4S3129400,DIESEL,GR,OPERATIVO,OPERAT.,PATRULLAJE
55,PG-27812,EPH-264,REGPOL-LL,SECEME CENTRO,CAMIONETA  PICK UP,2024,TOYOTA,HILUX 4x4,1GD-G492500,8AJKA3CD7S3129147,DIESEL,GR,OPERATIVO,OPERAT.,PATRULLAJE
56,PG-27813,EPH-265,REGPOL-LL,SECEME CENTRO,CAMIONETA  PICK UP,2024,TOYOTA,HILUX 4x4,1GD-G492589,8AJKA3CD5S3129163,DIESEL,GR,OPERATIVO,OPERAT.,PATRULLAJE
57,PG-27735,EPH-182,REGPOL-LL,SECEME CENTRO,CAMIONETA  PICK UP,2024,TOYOTA,HILUX 4x4,1GD-G492387,8AJKA3CD0S3129135,DIESEL,GR,OPERATIVO,OPERAT.,PATRULLAJE
58,PG-27814,EPH-266,REGPOL-LL,SECEME CENTRO,CAMIONETA  PICK UP,2024,TOYOTA,HILUX 4x4,1GD-G492428,8AJKA3CD4S3129140,DIESEL,GR,OPERATIVO,OPERAT.,PATRULLAJE
59,PG-27736,EPH-203,REGPOL-LL,SECEME CENTRO,CAMIONETA  PICK UP,2024,TOYOTA,HILUX 4x4,1GD-G492544,8AJKA3CD6S3129155,DIESEL,GR,OPERATIVO,OPERAT.,PATRULLAJE
60,PG-27737,EPH-207,REGPOL-LL,SECEME CENTRO,CAMIONETA  PICK UP,2024,TOYOTA,HILUX 4x4,1GD-G493972,8AJKA3CD7S3129343,DIESEL,GR,OPERATIVO,OPERAT.,PATRULLAJE
61,PG-27738,EPH-197,REGPOL-LL,SECEME CENTRO,CAMIONETA  PICK UP,2024,TOYOTA,HILUX 4x4,1GD-G492118,8AJKA3CD9S3129098,DIESEL,GR,OPERATIVO,OPERAT.,PATRULLAJE
62,PG-27739,EPH-199,REGPOL-LL,SECEME CENTRO,CAMIONETA  PICK UP,2024,TOYOTA,HILUX 4x4,1GD-G492649,8AJKA3CD6S3129169,DIESEL,GR,OPERATIVO,OPERAT.,PATRULLAJE
63,PG-27740,EPH-210,REGPOL-LL,SECEME CENTRO,CAMIONETA  PICK UP,2024,TOYOTA,HILUX 4x4,1GD-G492378,8AJKA3CD1S3129130,DIESEL,GR,OPERATIVO,OPERAT.,PATRULLAJE
64,PG-27741,EPH-185,REGPOL-LL,SECEME CENTRO,CAMIONETA  PICK UP,2024,TOYOTA,HILUX 4x4,1GD-G494454,8AJKA3CD5S3129406,DIESEL,GR,OPERATIVO,OPERAT.,PATRULLAJE
65,PG-27815,EPH-216,REGPOL-LL,SECEME CENTRO,CAMIONETA  PICK UP,2024,TOYOTA,HILUX 4x4,1GD-G494449,8AJKA3CDXS3129403,DIESEL,GR,OPERATIVO,OPERAT.,PATRULLAJE
66,PG-27742,EPH-181,REGPOL-LL,SECEME CENTRO,CAMIONETA  PICK UP,2024,TOYOTA,HILUX 4x4,1GD-G489853,8AJKA3CD0S3128762,DIESEL,GR,OPERATIVO,OPERAT.,PATRULLAJE
67,PG-27743,EPH-189,REGPOL-LL,SECEME CENTRO,CAMIONETA  PICK UP,2024,TOYOTA,HILUX 4x4,1GD-G497101,8AJKA3CD8S3129755,DIESEL,GR,OPERATIVO,OPERAT.,PATRULLAJE
68,PG-27816,EPH-213,REGPOL-LL,SECEME CENTRO,CAMIONETA  PICK UP,2024,TOYOTA,HILUX 4x4,1GD-G496985,8AJKA3CD6S3129740,DIESEL,GR,OPERATIVO,OPERAT.,PATRULLAJE
69,PG-27744,EPH-183,REGPOL-LL,SECEME CENTRO,CAMIONETA  PICK UP,2024,TOYOTA,HILUX 4x4,1GD-G497057,8AJKA3CD0S3129751,DIESEL,GR,OPERATIVO,OPERAT.,PATRULLAJE
70,PG-27745,EPH-201,REGPOL-LL,SECEME CENTRO,CAMIONETA  PICK UP,2024,TOYOTA,HILUX 4x4,1GD-G492574,8AJKA3CD8S3129156,DIESEL,GR,OPERATIVO,OPERAT.,PATRULLAJE
71,PG-27817,EPH-215,REGPOL-LL,SECEME CENTRO,CAMIONETA  PICK UP,2024,TOYOTA,HILUX 4x4,1GD-G491881,8AJKA3CD0S3129068,DIESEL,GR,OPERATIVO,OPERAT.,PATRULLAJE
72,PG-27746,EPH-186,REGPOL-LL,SECEME CENTRO,CAMIONETA  PICK UP,2024,TOYOTA,HILUX 4x4,1GD-G497488,8AJKA3CD2S3129802,DIESEL,GR,OPERATIVO,OPERAT.,PATRULLAJE
73,PL-15886,EPC-438,REGPOL-LL,SECSEBAN-AGUILA NEGRA,CAMIONETA  PICK UP,2014,NISSAN,FRONTIER,KA24733590A,3N6DD23T4EK088412,GASOLINA,PNP,OPERATIVO,OPERAT.,PATRULLAJE
74,PG-25852,EP-7206,REGPOL-LL,SECSEBAN-AGUILA NEGRA,MOTOCICLETA,2022,HONDA,XRE-300 ABS,ND12E1P750126,9C2ND1210PR750124,GASOLINA,ASBANC,OPERATIVO,OPERAT.,PATRULLAJE
75,PL-25682,EP-7159,REGPOL-LL,SECSEBAN-AGUILA NEGRA,MOTOCICLETA,2022,HONDA,XRE-300 ABS,ND12E2N200486,9C2ND1220NR200445,GASOLINA,DONADO,OPERATIVO,OPERAT.,PATRULLAJE
76,PL-25684,EP-7123,REGPOL-LL,SECSEBAN-AGUILA NEGRA,MOTOCICLETA,2022,HONDA,XRE-300 ABS,ND12E2N200409,9C2ND1220NR200409,GASOLINA,DONADO,OPERATIVO,OPERAT.,PATRULLAJE
77,PL-25687,EP-7121,REGPOL-LL,SECSEBAN-AGUILA NEGRA,MOTOCICLETA,2022,HONDA,XRE-300 ABS,ND12E2N200183,9C2ND1220NR200194,GASOLINA,DONADO,OPERATIVO,OPERAT.,PATRULLAJE
78,PL-25688,EP-7158,REGPOL-LL,SECSEBAN-AGUILA NEGRA,MOTOCICLETA,2022,HONDA,XRE-300 ABS,ND12E2N200105,9C2ND1220NR200115,GASOLINA,DONADO,OPERATIVO,OPERAT.,PATRULLAJE
79,PL-25689,EP-7138,REGPOL-LL,SECSEBAN-AGUILA NEGRA,MOTOCICLETA,2022,HONDA,XRE-300 ABS,ND12E2N200190,9C2ND1220NR200174,GASOLINA,DONADO,OPERATIVO,OPERAT.,PATRULLAJE
80,PG-25900,EP-7255,REGPOL-LL,SECSEBAN-AGUILA NEGRA,MOTOCICLETA,2022,HONDA,XRE-300 ABS,ND12E1P750179,9C2ND1210PR750151,GASOLINA,ASBANC,OPERATIVO,OPERAT.,PATRULLAJE
81,PG-25851,EP-7175,REGPOL-LL,SECSEBAN-AGUILA NEGRA,MOTOCICLETA,2022,HONDA,XRE-300 ABS,ND12E1P750197,9C2ND1210PR750215,GASOLINA,ASBANC,OPERATIVO,OPERAT.,PATRULLAJE
82,PG-25919,EP-7234,REGPOL-LL,SECSEBAN-AGUILA NEGRA,MOTOCICLETA,2022,HONDA,XRE-300 ABS,ND12E1P750149,9C2ND1210PR750126,GASOLINA,ASBANC,OPERATIVO,OPERAT.,PATRULLAJE
83,PG-26315,EPG-360,REGPOL-LL,SECSEBAN-AGUILA NEGRA,CAMIONETA  SUV,2023,HYUNDAI,CRETA,G4FLNV404755,MALPB812APM404058,GASOLINA,ASBANC,OPERATIVO,OPERAT.,PATRULLAJE
84,PG-26317,EPG-354,REGPOL-LL,SECSEBAN-AGUILA NEGRA,CAMIONETA  SUV,2023,HYUNDAI,CRETA,G4FLNV404731,MALPB812APM404061,GASOLINA,ASBANC,OPERATIVO,OPERAT.,PATRULLAJE
85,PL-25683,EP-7130,REGPOL-LL,SECSEBAN-AGUILA NEGRA,MOTOCICLETA,2022,HONDA,XRE-300 ABS,ND12E2N200464,9C2ND1220NR200428,GASOLINA,DONADO,OPERATIVO,OPERAT.,PATRULLAJE
86,PL-25685,EP-7136,REGPOL-LL,SECSEBAN-AGUILA NEGRA,MOTOCICLETA,2022,HONDA,XRE-300 ABS,ND12E2N200471,9C2ND1220NR200434,GASOLINA,DONADO,OPERATIVO,OPERAT.,PATRULLAJE
87,PL-25686,EP-7110,REGPOL-LL,SECSEBAN-AGUILA NEGRA,MOTOCICLETA,2022,HONDA,XRE-300 ABS,ND12E2N200467,9C2ND1220NR200429,GASOLINA,DONADO,OPERATIVO,OPERAT.,PATRULLAJE
88,PG-25949,EP-7467,REGPOL-LL,SECMOTPOL TRUJILLO,MOTOCICLETA,2022,HONDA,XRE 300,ND12E2P201225,9C2ND1220PR201196,GASOLINA,PIP,OPERATIVO,OPERAT.,PATRULLAJE
89,PG-25953,EP-7468,REGPOL-LL,SECMOTPOL TRUJILLO,MOTOCICLETA,2022,HONDA,XRE 300,ND12E2P201214,9C2ND1220PR201186,GASOLINA,PIP,OPERATIVO,OPERAT.,PATRULLAJE
90,PG-25954,EP-7469,REGPOL-LL,SECMOTPOL TRUJILLO,MOTOCICLETA,2022,HONDA,XRE 300,ND12E2P201213,9C2ND1220PR201183,GASOLINA,PIP,OPERATIVO,OPERAT.,PATRULLAJE
91,PG-25952,EP-7470,REGPOL-LL,SECMOTPOL TRUJILLO,MOTOCICLETA,2022,HONDA,XRE 300,ND12E2P201170,9C2ND1220PR201158,GASOLINA,PIP,OPERATIVO,OPERAT.,PATRULLAJE
92,PG-25950,EP-7471,REGPOL-LL,SECMOTPOL TRUJILLO,MOTOCICLETA,2022,HONDA,XRE 300,ND12E2P201205,9C2ND1220PR201178,GASOLINA,PIP,OPERATIVO,OPERAT.,PATRULLAJE
93,PG-14644,EP-2394,REGPOL-LL,SECMOTPOL TRUJILLO,MOTOCICLETA,2012,HONDA,XR-250 TORNADO,MD34ED510129,9C2MD3400DR510129,GASOLINA,ASBANC,OPERATIVO,OPERAT.,PATRULLAJE
94,PL-23851,EP-5822,REGPOL-LL,SECMOTPOL-TRUJILLO,MOTOCICLETA,2017,HONDA,XRE-300 TORNADO,ND12E1J730173,9C2ND1210JR730165,GASOLINA,PNP,OPERATIVO,OPERAT.,PATRULLAJE
95,PG-10911,S/P,REGPOL-LL,UNOPES - ESCUADRON VERDE,MOTOCICLETA,2010,HONDA,XR-250 TORNADO,MD34EA516472,9C2MD3400AR516472,GASOLINA,ASBANC,OPERATIVO,OPERAT.,PATRULLAJE
96,PG-24791,EP-6963,REGPOL-LL,UNOPES - ESCUADRON VERDE,MOTOCICLETA,2013,HONDA,XR-250 TORNADO,8CHMD3400GL600242,MD34EG780236,GASOLINA,MPT,OPERATIVO,OPERAT.,PATRULLAJE
97,PG-24789,EP-6962,REGPOL-LL,UNOPES - ESCUADRON VERDE,MOTOCICLETA,2013,HONDA,XR-250 TORNADO,9C2MDD3400GR510721,MD34EG510721,GASOLINA,MPT,OPERATIVO,OPERAT.,PATRULLAJE
98,PL-17442,EP-3640,REGPOL-LL,UNOPES - ESCUADRON VERDE,MOTOCICLETA,2015,HONDA,CBX-250 TWISTER,MC35EE337339,8CHMC3500EP006746,GASOLINA,PNP,OPERATIVO,OPERAT.,PATRULLAJE
99,KG-9970,POA-381,REGPOL-LL,UNOPES - ESCUADRON VERDE,CAMIONETA  PICK UP,2008,NISSAN,FRONTIER,ZD30-212081K,JN1CNUD229X466185,DIESEL,G/R,OPERATIVO,OPERAT.,PATRULLAJE
100,PL-16129,EPC-211,REGPOL-LL,UNOPES - ESCUADRON VERDE,CAMIONETA  PICK UP,2014,NISSAN,FRONTIER,KA24732706A,3N6DD23T7EK087710,GASOLINA,PNP,OPERATIVO,OPERAT.,PATRULLAJE
101,PG-24785,EPG-256,REGPOL-LL,UNOPES - ESCUADRON VERDE,CAMIONETA  PICK UP,2016,MAZDA,BT50  4X4,P5AT2336176,MM7UR4DF7HW652043,DIESEL,MPT,OPERATIVO,OPERAT.,PATRULLAJE
102,PG-24794,EAA-267,REGPOL-LL,UNOPES - ESCUADRON VERDE,PORTATROPA,2016,FOTON,AUMARK,89854174,LVBV5PBB9GE006975,DIESEL,MPT,OPERATIVO,OPERAT.,PATRULLAJE
103,PL-15916,EPC-444,REGPOL-LL,UNOPES - ESCUADRON VERDE,CAMIONETA  PICK UP,2014,NISSAN,FRONTIER,KA24731891A,3N6DD23T9EK087076,GASOLINA,PNP,OPERATIVO,OPERAT.,PATRULLAJE
104,ML-14948 ,   EGN-958       ,REGPOL-LL,UTSEVI - TRUJILLO,MINIBUS,2013,VOLKSWAGEN,9.150 EOD ,D1A071298 ,9532252RXER344638    ,DIESEL,PNP,OPERATIVO,OPERAT.,PATRULLAJE
105,PG-27552,EP-7894,REGPOL-LL,UTSEVI - TRUJILLO,MOTOCICLETA,2023,YAMAHA,XTZ-250ABS,G3F2E034273,9C6DG2942R0000120,GASOLINA,DONADO ,OPERATIVO,OPERAT.,PATRULLAJE
106,PG-27553,EP-7895,REGPOL-LL,UTSEVI - TRUJILLO,MOTOCICLETA,2023,YAMAHA,XTZ-250ABS,G3F2E034301,9C6DG2949R0000146,GASOLINA,DONADO ,OPERATIVO,OPERAT.,PATRULLAJE
107,PG-27554,EP-7896,REGPOL-LL,UTSEVI - TRUJILLO,MOTOCICLETA,2023,YAMAHA,XTZ-250ABS,G3F2E034293,9C6DG294XR0000138,GASOLINA,DONADO ,OPERATIVO,OPERAT.,PATRULLAJE
108,PG-27555,EP-7897,REGPOL-LL,UTSEVI - TRUJILLO,MOTOCICLETA,2023,YAMAHA,XTZ-250ABS,G3F2E034255,9C6DG2943R0000109,GASOLINA,DONADO ,OPERATIVO,OPERAT.,PATRULLAJE
